ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Regular price,Sale price,Categories,Tags,Images,Gallery,Download limit,Download expiry days,Parent,Grouped products,Attributes,Default attributes,Brands
,,SOHOVEG,ESTERILIZADOR DE VEGETALES SOHO,,,,"AYUDA A ELIMINAR EL PESTICIDA RESIDUAL DE LOS ALIMENTOS

El ""residuo del cultivo"" de las verduras puede contener sustancias nocivas como el benceno cl...","AYUDA A ELIMINAR EL PESTICIDA RESIDUAL DE LOS ALIMENTOS

El ""residuo del cultivo"" de las verduras puede contener sustancias nocivas como el benceno clorado, plaguicidas como el metamidofos o el paratión que pueden acumularse en el cuerpo durante mucho tiempo. El consumo a largo plazo puede debilitar la función del sistema endocrino y causar envejecimiento prematuro, dolores de cabeza,
fatiga, mareos y serias enfermedades tales como cáncer, cirrosis, y otras enfermedades gastrointestinales.

El ""lavado tradicional"" no solo es ineficiente, solo quita el 24% de pesticidas (en los mejores casos), sino que también muchas veces es nocivo si se le agregan detergentes químicos, que contaminan secundariamente los alimentos 

NUEVA TECNOLOGÍA DE LIMPIEZA: ESTERILIZACIÓN POR CATALIZADORES DE AGUA

La tecnología de esterilización por catalizadores de agua es una nueva tecnología que puede desinfectar y esterilizar artículos en un corto período de tiempo a través de iones de hidroxilo, que presentan fuertes propiedades de oxidación y son generados a partir de la electrólisis del agua. 

Los catalizadores de agua pueden realizarse fácilmente y esterilizarse rápidamente. Pueden convertirse en agua normal completamente a través de una auto reacción de reducción-oxidación en cuestión de pocos minutos, y pueden ser ampliamente usados para remojo, limpieza, desinfección y esterilización en hogares, hospitales, restaurantes, plantas procesadoras de alimentos y granjas de ganado. 

Limpia y esteriliza:
- Vegetales
- Granos
- Carnes
- Cubiertos
- Biberones
Agua para limpieza- No para beber 

Degrada y elimina:
- Toxinas
- Pesticidas

1 año de garantía

",,,,54.0,,,146.02,,Otros,"""lavado, elimina:, toxinas, catalizadores, carnes, procesadoras, artículos, y, hospitales,, a, tiempo., debilitar, agua., esterilizarse, año, el, vegetales, limpieza,, es, residual, que, reacción, iones, nueva, sustancias, detergentes, clorado,, usados, convertirse, prematuro,, esterilización, tiempo, cirrosis,, plantas, granos, hogares,, alimentos, quita, secundariamente, partir, cubiertos, o, durante, en, plaguicidas, cáncer,, oxidación, ser, electrólisis, fatiga,, reducción-oxidación, completamente, pesticidas, metamidofos, tradicional"", través, mareos, verduras, como, otras, agua, biberones, para, minutos,, granjas, pesticida, la, ganado., mucho, realizarse, pueden, enfermedades, agregan, si, ""residuo, remojo,, muchas, acumularse, esterilizar, ayuda, período, no, por, los, de, gastrointestinales., esteriliza:, serias, auto, nocivas, plazo, endocrino, tales, degrada, beber, 24%, pocos, una, puede, limpieza:, desinfectar, normal, mejores, solo, ineficiente,, del, son, restaurantes,, limpieza-, cabeza,, sino, se, limpia, le, hidroxilo,, eliminar, químicos,, 1, veces, envejecimiento, un, causar, -, propiedades, cuerpo, garantía, casos),, consumo, corto, benceno, desinfección, fuertes, función, esterilizador, contaminan, soho, (en, rápidamente., cultivo"", ampliamente, contener, generados, también, tecnología, sistema, nocivo, cuestión, fácilmente, paratión, dolores, presentan, las, largo","https://starcenter.com.uy/uploads/products/2231-379824152.png, https://starcenter.com.uy/uploads/products/2231-402492114.png, https://starcenter.com.uy/uploads/products/2231-648251204.png, https://starcenter.com.uy/uploads/products/2231-31888724.png, https://starcenter.com.uy/uploads/products/2231-402492114.png, https://starcenter.com.uy/uploads/products/2231-648251204.png, https://starcenter.com.uy/uploads/products/2231-31888724.png","https://starcenter.com.uy/uploads/products/2231-402492114.png, https://starcenter.com.uy/uploads/products/2231-648251204.png, https://starcenter.com.uy/uploads/products/2231-31888724.png",,,,,,,Sin Marca
,,EN40711,FUENTE DE PODER XIGMATEK X-POWER 600W 80 PLUS,,,,"- Cumple con el estándar más nuevo Intel ATX 12V V 2.3.
- Conector dual de 4 + 4 pines para CPU
- Atractivo acabado en negro mate con ventilador de pa...","- Cumple con el estándar más nuevo Intel ATX 12V V 2.3.
- Conector dual de 4 + 4 pines para CPU
- Atractivo acabado en negro mate con ventilador de palas negras Xigmatek.
- Entrada de 230 V con una eficiencia superior al 80% bajo cargas típicas.
- Salidas de un solo carril + 12v para aplicaciones de uso de alta potencia.
- Alta fiabilidad (MTBF> 50.000 horas).
- Protección contra sobretensiones OVP / OPP / UVP.
- Cumple con los estándares FCC, CE, RoHS.",,,,4.0,,,53.9,,Otros,"fcc,, fuente, 4, entrada, 230, 2.3., en, cpu, v, dual, de, negro, 600w, los, acabado, /, xigmatek., 80%, bajo, protección, un, plus, nuevo, ce,, atractivo, -, conector, ventilador, carril, salidas, ovp, mate, uvp., cumple, contra, el, pines, típicas., una, más, 80, (mtbf>, horas)., eficiencia, +, para, atx, solo, superior, intel, poder, potencia., cargas, fiabilidad, estándares, 12v, rohs., negras, aplicaciones, opp, palas, sobretensiones, x-power, con, al, 50.000, estándar, alta, xigmatek, uso",https://starcenter.com.uy/uploads/products/2260-297263759.jpg,,,,,,,,Sin Marca
,,4Y50R20863,MOUSE LENOVO ESSENTIAL USB,,,,,,,,,11.0,,,9.8,,Accesorios de Computadora,"mouse, usb, lenovo, essential",https://starcenter.com.uy/uploads/products/2283-6415223.jpg,,,,,,,,Sin Marca
,,4X30M39482,COMBO DE TECLADO Y MOUSE INALÁMBRICO LENOVO,,,,Mejora tu productividad con la comodidad inalámbrica del combo de teclado y mouse inalámbricos de Lenovo Essential. Conecta el teclado y el mouse medi...,Mejora tu productividad con la comodidad inalámbrica del combo de teclado y mouse inalámbricos de Lenovo Essential. Conecta el teclado y el mouse mediante un solo un receptor inalámbrico USB nano sin complicaciones ni desorden. El delgado teclado inalámbrico de 2.5 zonas posee teclas con buena capacidad de respuesta y ofrece una experiencia de escritura de primer nivel. El mouse inalámbrico de tamaño estándar complementa el teclado en diseño y funcionalidad. Un receptor USB nano para el teclado y el mouse; Diseño de teclado de 2.5 zonas con teclado de numérico dedicado; Soporte de inclinación ajustable y diseño de teclado resistente a derrames; Mouse ambidiestro de tamaño completo; Sensor óptimo y resolución de 1200 DPI; Hasta 12 meses de duración de batería (podría variar según el uso),,,,1.0,,,24.5,,Accesorios de Computadora,"tu, nano, productividad, desorden., delgado, en, diseño, mouse, resolución, ambidiestro, inalámbrico, de, combo, respuesta, soporte, usb, sin, y, essential., mediante, conecta, mejora, un, experiencia, a, primer, 12, resistente, hasta, uso), dpi;, mouse;, numérico, lenovo, el, teclado, (podría, una, sensor, funcionalidad., duración, ni, para, buena, tamaño, solo, meses, la, según, zonas, inalámbrica, inalámbricos, del, óptimo, complicaciones, complementa, ajustable, ofrece, comodidad, escritura, 1200, batería, receptor, con, variar, 2.5, posee, inclinación, estándar, completo;, nivel., derrames;, dedicado;, capacidad, teclas",https://starcenter.com.uy/uploads/products/2284-1662628665.png,,,,,,,,Sin Marca
,,7202197,BOLÍGRAFO BIC ROUND STIC PUNTA 1MM NEGRO BOX X12U,,,,"Bolígrafo de cuerpo redondo, color traslúcido y de confortable agarre.

La tapa indica el color de la tinta. Con punta media de 1mm.

Color: Negro

PR...","Bolígrafo de cuerpo redondo, color traslúcido y de confortable agarre.

La tapa indica el color de la tinta. Con punta media de 1mm.

Color: Negro

PRESENTACIÓN
BOX x 12- Caja máster 36 boxes.",,,,13209.0,,,2.64,,Otros,"tapa, indica, media, 1mm., caja, x, negro, de, boxes., traslúcido, 36, y, máster, cuerpo, confortable, redondo,, el, presentación, 12-, agarre., la, tinta., box, x12u, bolígrafo, bic, con, stic, 1mm, color:, color, punta, round",https://starcenter.com.uy/uploads/products/2290-905592435.jpg,,,,,,,,Sin Marca
,,7202207,BOLÍGRAFO BIC ROUND STIC PUNTA 1MM AZUL BOX X12U,,,,"Bolígrafo de cuerpo redondo, color traslúcido y de confortable agarre.

La tapa indica el color de la tinta. Con punta media de 1mm.

Color: Azul

PRE...","Bolígrafo de cuerpo redondo, color traslúcido y de confortable agarre.

La tapa indica el color de la tinta. Con punta media de 1mm.

Color: Azul

PRESENTACIÓN
BOX x 12- Caja máster 36 boxes.",,,,9664.0,,,2.64,,Otros,"tapa, indica, media, 1mm., caja, x, de, boxes., traslúcido, 36, y, azul, máster, cuerpo, confortable, redondo,, el, presentación, 12-, agarre., la, tinta., box, x12u, bolígrafo, bic, con, stic, 1mm, color:, color, punta, round",https://starcenter.com.uy/uploads/products/2291-1537475989.jpg,,,,,,,,Sin Marca
,,8209133,MARCADOR PERMANENTE BIC 2000 PUNTA REDONDA ROJO BOX X12U,,,,"Escriben sobre cualquier superficie, con tinta resistente a las variaciones climáticas. Secado instantáneo.

Dos opciones de punta, cónica y chata, in...","Escriben sobre cualquier superficie, con tinta resistente a las variaciones climáticas. Secado instantáneo.

Dos opciones de punta, cónica y chata, indeformables y de trazos variados.

Con colores que no pierden su intensidad y con excelente poder de cobertura.

PRESENTACIÓN
Box x 12- Caja máster 32 boxes",,,,888.0,,,13.68,,Otros,"colores, variaciones, no, chata,, su, 32, caja, marcador, pierden, x, intensidad, de, escriben, opciones, y, máster, cónica, variados., a, resistente, boxes, 2000, punta,, trazos, superficie,, instantáneo., redonda, presentación, rojo, tinta, 12-, que, sobre, excelente, poder, box, x12u, indeformables, cobertura., cualquier, climáticas., bic, con, secado, dos, permanente, punta, las",https://starcenter.com.uy/uploads/products/2292-1559690198.jpg,,,,,,,,Sin Marca
,,8209143,MARCADOR PERMANENTE BIC 2000 PUNTA REDONDA AZUL BOX X12U,,,,"Escriben sobre cualquier superficie, con tinta resistente a las variaciones climáticas. Secado instantáneo.

Dos opciones de punta, cónica y chata, in...","Escriben sobre cualquier superficie, con tinta resistente a las variaciones climáticas. Secado instantáneo.

Dos opciones de punta, cónica y chata, indeformables y de trazos variados.

Con colores que no pierden su intensidad y con excelente poder de cobertura.

PRESENTACIÓN
Box x 12- Caja máster 32 boxes",,,,1153.0,,,13.68,,Otros,"colores, variaciones, no, chata,, su, 32, caja, marcador, pierden, x, intensidad, de, escriben, opciones, azul, y, máster, cónica, variados., a, resistente, boxes, 2000, punta,, trazos, superficie,, instantáneo., redonda, presentación, tinta, 12-, que, sobre, excelente, poder, box, x12u, indeformables, cobertura., cualquier, climáticas., bic, con, secado, dos, permanente, punta, las",https://starcenter.com.uy/uploads/products/2293-1435224348.jpg,,,,,,,,Sin Marca
,,8209153,MARCADOR PERMANENTE BIC 2000 PUNTA REDONDA NEGRO BOX X12U,,,,"Escriben sobre cualquier superficie, con tinta resistente a las variaciones climáticas. Secado instantáneo.

Dos opciones de punta, cónica y chata, in...","Escriben sobre cualquier superficie, con tinta resistente a las variaciones climáticas. Secado instantáneo.

Dos opciones de punta, cónica y chata, indeformables y de trazos variados.

Con colores que no pierden su intensidad y con excelente poder de cobertura.

PRESENTACIÓN
Box x 12- Caja máster 32 boxes",,,,4349.0,,,13.68,,Otros,"colores, variaciones, no, chata,, su, 32, caja, marcador, pierden, x, negro, de, intensidad, escriben, opciones, y, máster, cónica, variados., a, resistente, boxes, 2000, punta,, trazos, superficie,, instantáneo., redonda, presentación, tinta, 12-, que, sobre, excelente, poder, box, x12u, indeformables, cobertura., cualquier, climáticas., bic, con, secado, dos, permanente, punta, las",https://starcenter.com.uy/uploads/products/2294-1263432508.jpg,,,,,,,,Sin Marca
,,835206,BOLÍGRAFO BIC CRISTAL MEDIANO ROJO BOX X50U,,,,"El clásico BIC. El bolígrafo más vendido del mundo.

Punta media de 1mm. Su cuerpo y su tapa indican el color de su tinta.

Cuerpo hexagonal para un a...","El clásico BIC. El bolígrafo más vendido del mundo.

Punta media de 1mm. Su cuerpo y su tapa indican el color de su tinta.

Cuerpo hexagonal para un agarre confortable.

Color: Rojo

PRESENTACIÓN
BOX x 50- Caja máster 24 boxes",,,,1778.0,,,17.81,,Otros,"bic., tapa, 24, media, su, 1mm., mundo., caja, x, de, y, máster, mediano, un, clásico, boxes, cristal, agarre, cuerpo, el, hexagonal, presentación, indican, más, x50u, confortable., rojo, para, tinta., box, del, bolígrafo, 50-, vendido, bic, color:, color, punta",https://starcenter.com.uy/uploads/products/2295-4565491.jpg,,,,,,,,Sin Marca
,,835207,BOLÍGRAFO BIC CRISTAL MEDIANO VERDE BOX X50U,,,,"El clásico BIC. El bolígrafo más vendido del mundo.

Punta media de 1mm. Su cuerpo y su tapa indican el color de su tinta.

Cuerpo hexagonal para un a...","El clásico BIC. El bolígrafo más vendido del mundo.

Punta media de 1mm. Su cuerpo y su tapa indican el color de su tinta.

Cuerpo hexagonal para un agarre confortable.

Color: Verde

PRESENTACIÓN
BOX x 50- Caja máster 24 boxes",,,,147.0,,,17.81,,Otros,"bic., tapa, 24, media, su, 1mm., mundo., caja, x, de, y, máster, mediano, un, clásico, boxes, cristal, agarre, cuerpo, el, hexagonal, verde, indican, más, presentación, x50u, confortable., para, tinta., box, del, bolígrafo, 50-, vendido, bic, color:, color, punta",https://starcenter.com.uy/uploads/products/2296-2008409421.jpg,,,,,,,,Sin Marca
,,835208,BOLÍGRAFO BIC CRISTAL MEDIANO NEGRO BOX X50U,,,,"El clásico BIC. El bolígrafo más vendido del mundo.

Punta media de 1mm. Su cuerpo y su tapa indican el color de su tinta.

Cuerpo hexagonal para un a...","El clásico BIC. El bolígrafo más vendido del mundo.

Punta media de 1mm. Su cuerpo y su tapa indican el color de su tinta.

Cuerpo hexagonal para un agarre confortable.

Color: Negro

PRESENTACIÓN
BOX x 50- Caja máster 24 boxes",,,,3399.0,,,17.81,,Otros,"bic., tapa, 24, media, su, 1mm., mundo., caja, x, negro, de, y, máster, mediano, un, clásico, boxes, cristal, agarre, cuerpo, el, hexagonal, presentación, indican, más, x50u, confortable., para, tinta., box, del, bolígrafo, 50-, vendido, bic, color:, color, punta",https://starcenter.com.uy/uploads/products/2297-1909414427.jpg,,,,,,,,Sin Marca
,,835230,LÁPIZ GRAFITO BIC EVOLUTION HB BLISTER X4U,,,,"Cuerpo de resina plástica producido sin la utilización de madera, único en el mercado.

Su mina (HB N° 2) y su cuerpo de gran resistencia, no se quieb...","Cuerpo de resina plástica producido sin la utilización de madera, único en el mercado.

Su mina (HB N° 2) y su cuerpo de gran resistencia, no se quiebra con facilidad y no se astilla al sacarle punta.

Rinde 2000 metros de escritura.

PRESENTACIÓN
Blíster x 4- Caja máster 25 blísters",,,,13146.0,,,1.36,,Otros,"hb, no, su, en, gran, caja, evolution, x, de, sin, y, máster, lápiz, sacarle, rinde, blísters, grafito, n°, plástica, 2000, (hb, utilización, cuerpo, blíster, el, presentación, mercado., madera,, 4-, x4u, blister, resina, la, producido, 2), resistencia,, mina, astilla, facilidad, punta., único, quiebra, bic, con, al, 25, se, metros, escritura.",https://starcenter.com.uy/uploads/products/2298-141896510.jpg,,,,,,,,Sin Marca
,,835232,LÁPIZ GRAFITO BIC EVOLUTION HB BOX X12U,,,,"Cuerpo de resina plástica producido sin la utilización de madera, único en el mercado.

Su mina (HB N° 2) y su cuerpo de gran resistencia, no se quieb...","Cuerpo de resina plástica producido sin la utilización de madera, único en el mercado.

Su mina (HB N° 2) y su cuerpo de gran resistencia, no se quiebra con facilidad y no se astilla al sacarle punta.

Rinde 2000 metros de escritura.

PRESENTACIÓN
Box x 12- Caja máster 144 boxes",,,,14024.0,,,3.04,,Otros,"hb, no, su, en, gran, caja, evolution, x, de, sin, y, máster, lápiz, sacarle, rinde, grafito, n°, plástica, boxes, 2000, 144, (hb, utilización, cuerpo, el, presentación, mercado., madera,, resina, 12-, la, producido, 2), resistencia,, mina, box, x12u, astilla, facilidad, punta., único, quiebra, bic, con, al, se, metros, escritura.",https://starcenter.com.uy/uploads/products/2299-1528341039.jpg,,,,,,,,Sin Marca
,,835293,LÁPIZ GRAFITO BIC EVOLUTION HB CON GOMA BOX X 12,,,,"Con goma. Cuerpo de resina plástica producido sin la utilización de madera, único en el mercado.

Su mina (HB N°2) y su cuerpo de gran resistencia , n...","Con goma. Cuerpo de resina plástica producido sin la utilización de madera, único en el mercado.

Su mina (HB N°2) y su cuerpo de gran resistencia , no se quiebran con facilidad y no se astilla al sacarle punta.

Rinde 2000 metros de escritura.

PRESENTACIÓN
Box x 12- Caja máster 144 máster",,,,3178.0,,,2.95,,Otros,"hb, no, su, en, gran, caja, evolution, x, de, sin, goma, y, máster, lápiz, ,, 12, sacarle, rinde, grafito, plástica, resistencia, 2000, quiebran, 144, (hb, utilización, cuerpo, el, presentación, mercado., madera,, resina, 12-, la, producido, mina, box, n°2), astilla, goma., facilidad, punta., único, bic, con, al, se, metros, escritura.",https://starcenter.com.uy/uploads/products/2300-484724761.jpg,,,,,,,,Sin Marca
,,835374,ENCENDEDOR MINI BIC J5 BLISTER X1U,,,,"Encendedor de bolsillo muy práctico y cómodo.
De llama fija.
Rendimiento superior con mayor economía.
Cumplen con la norma de seguridad internacional ...","Encendedor de bolsillo muy práctico y cómodo.
De llama fija.
Rendimiento superior con mayor economía.
Cumplen con la norma de seguridad internacional ISO 9994.

PRESENTACIÓN
Blister x 1- Caja Máster 50


",,,,20353.0,,,0.72,,Otros,"caja, x, de, fija., internacional, y, máster, llama, cumplen, práctico, bolsillo, economía., mini, seguridad, x1u, muy, presentación, 9994., blister, superior, rendimiento, la, j5, iso, cómodo., norma, 1-, mayor, 50, bic, con, encendedor",https://starcenter.com.uy/uploads/products/2301-1399367297.jpg,,,,,,,,Sin Marca
,,835385,AFEITADORA BIC COMFORT TWIN SENSITIVE BLISTER X2U,,,,"Banda lubricante con Aloe Vera, Vitamina A y Vitamnina E para una afeitada suave.

Posee doble hoja de acero inoxidable con baño de cromo, mango antid...","Banda lubricante con Aloe Vera, Vitamina A y Vitamnina E para una afeitada suave.

Posee doble hoja de acero inoxidable con baño de cromo, mango antideslizante y tapa protectora.

Cabezal fijo y angosto para llegar a áreas sensibles con mayor facilidad.

PRESENTACIÓN
Blister x 12- Cartela de 12 blisters x 2- Caja master 288 blisters.",,,,2124.0,,,1.08,,Otros,"e, blisters, tapa, vera,, sensibles, caja, x, de, hoja, fijo, protectora., y, facilidad., master, suave., a, 12, acero, antideslizante, x2u, afeitada, 288, banda, twin, cabezal, baño, inoxidable, presentación, una, vitamnina, comfort, blister, para, 12-, áreas, blisters., sensitive, aloe, doble, angosto, 2-, vitamina, llegar, mayor, lubricante, afeitadora, bic, con, cromo,, posee, cartela, mango",https://starcenter.com.uy/uploads/products/2302-1922184339.png,,,,,,,,Sin Marca
,,878658,BOLÍGRAFO BIC CRISTAL PUNTA 1.2MM AZUL BOX X25U,,,,"Bolígrafo BIC Cristal Desliza+.

- Escritura fácil.
- Punta media.
- 1.2 mm.
- Color azul.

PRESENTACIÓN
Box x 25- Caja máster 6 boxes","Bolígrafo BIC Cristal Desliza+.

- Escritura fácil.
- Punta media.
- 1.2 mm.
- Color azul.

PRESENTACIÓN
Box x 25- Caja máster 6 boxes",,,,689.0,,,9.97,,Otros,"fácil., caja, x, 25-, azul, máster, 1.2mm, desliza+., boxes, -, cristal, media., presentación, 1.2, x25u, box, 6, bolígrafo, escritura, bic, mm., azul., color, punta",https://starcenter.com.uy/uploads/products/2304-703222251.png,,,,,,,,Sin Marca
,,878709,BOLÍGRAFO BIC CRISTAL SURTIDA BLISTER X4U 2AZ/1RO/1NE,,,,"El clásico BIC. El bolígrafo más vendido del mundo.

Punta media de 1mm. Su cuerpo y su tapa indican el color de su tinta.

Cuerpo hexagonal para un a...","El clásico BIC. El bolígrafo más vendido del mundo.

Punta media de 1mm. Su cuerpo y su tapa indican el color de su tinta.

Cuerpo hexagonal para un agarre confortable.

Color: Surtido (Azul x 2, 1 rojo y 1 negro)

PRESENTACIÓN
Blíster x 4- Caja máster 50 blísters",,,,33923.0,,,2.09,,Otros,"bic., tapa, media, su, 1mm., mundo., surtido, caja, x, de, 1, y, máster, un, 2,, blísters, surtida, clásico, cristal, agarre, cuerpo, blíster, el, hexagonal, negro), indican, más, presentación, confortable., 2az/1ro/1ne, x4u, blister, para, rojo, 4-, tinta., (azul, del, bolígrafo, 50, vendido, bic, color:, color, punta",https://starcenter.com.uy/uploads/products/2305-57677654.png,,,,,,,,Sin Marca
,,878710,BOLÍGRAFO BIC CRISTAL SURTIDA BLISTER X4U (RO/AZ/VE/NE),,,,"El clásico BIC. El bolígrafo más vendido del mundo.

Punta media de 1mm. Su cuerpo y su tapa indican el color de su tinta.

Cuerpo hexagonal para un a...","El clásico BIC. El bolígrafo más vendido del mundo.

Punta media de 1mm. Su cuerpo y su tapa indican el color de su tinta.

Cuerpo hexagonal para un agarre confortable.

Color: Surtido (Azul, negro, rojo y verde)

PRESENTACIÓN
Blíster x 4- Caja máster 50 blísters",,,,5183.0,,,2.09,,Otros,"bic., tapa, media, su, 1mm., mundo., surtido, caja, x, de, y, máster, (ro/az/ve/ne), un, blísters, surtida, clásico, cristal, agarre, cuerpo, blíster, el, hexagonal, presentación, indican, más, confortable., 4-, x4u, blister, para, rojo, tinta., del, bolígrafo, 50, vendido, bic, negro,, (azul,, color:, color, punta, verde)",https://starcenter.com.uy/uploads/products/2306-388099241.jpg,,,,,,,,Sin Marca
,,878711,BOLÍGRAFO BIC CRISTAL MEDIANO AZUL BLISTER X4U,,,,"El clásico BIC. El bolígrafo más vendido del mundo.

Punta media de 1mm. Su cuerpo y su tapa indican el color de su tinta.

Cuerpo hexagonal para un a...","El clásico BIC. El bolígrafo más vendido del mundo.

Punta media de 1mm. Su cuerpo y su tapa indican el color de su tinta.

Cuerpo hexagonal para un agarre confortable.

Color: Azul

PRESENTACIÓN
Blíster x 4- Caja máster 50 blísters",,,,8300.0,,,2.09,,Otros,"bic., tapa, media, su, 1mm., mundo., caja, x, de, azul, y, máster, mediano, un, blísters, clásico, cristal, agarre, cuerpo, blíster, el, hexagonal, presentación, indican, más, confortable., 4-, x4u, blister, para, tinta., del, bolígrafo, 50, vendido, bic, color:, color, punta",https://starcenter.com.uy/uploads/products/2307-2072418224.png,,,,,,,,Sin Marca
,,884626,AFEITADORA BIC COMFORT TWIN SENSITIVE POUCH X5U,,,,"Banda lubricante con Aloe Vera, Vitamina A y Vitamnina E para una afeitada suave.

Posee doble hoja de acero inoxidable con baño de cromo, mango antid...","Banda lubricante con Aloe Vera, Vitamina A y Vitamnina E para una afeitada suave.

Posee doble hoja de acero inoxidable con baño de cromo, mango antideslizante y tapa protectora.

Cabezal fijo y angosto para llegar a áreas sensibles con mayor facilidad.

PRESENTACIÓN
POUCH lleve 5 pague 4- Caja máster 48 blister.",,,,7034.0,,,3.49,,Otros,"e, tapa, pague, vera,, sensibles, caja, de, hoja, fijo, pouch, protectora., y, facilidad., lleve, máster, 5, suave., a, x5u, acero, antideslizante, afeitada, banda, twin, cabezal, baño, inoxidable, presentación, una, vitamnina, 4-, comfort, para, áreas, sensitive, aloe, blister., doble, angosto, vitamina, llegar, mayor, lubricante, afeitadora, bic, con, cromo,, posee, 48, mango",https://starcenter.com.uy/uploads/products/2308-1417821152.jpg,,,,,,,,Sin Marca
,,902472,BOLÍGRAFO BIC CRISTAL PUNTA 1.2MM FASHION SURTIDO BLISTER 4U,,,,,,,,,1204.0,,,2.09,,Otros,"fashion, 1.2mm, bic, blister, surtido, punta, cristal, 4u, bolígrafo",https://starcenter.com.uy/uploads/products/2310-2079848926.jpg,,,,,,,,Sin Marca
,,902507,BOLÍGRAFO BIC CRISTAL PUNTA 1.2MM FASHION SURTIDO BOX X25U,,,,,,,,,362.0,,,9.46,,Otros,"fashion, 1.2mm, bic, surtido, punta, cristal, x25u, box, bolígrafo",https://starcenter.com.uy/uploads/products/2311-16360591.jpg,,,,,,,,Sin Marca
,,902638,LÁPICES DE COLOR BIC EVOLUTION LARGO ESTUCHE X24U,,,,"Lápices de colores con cuerpo hexagonal de resina plástica producido sin la utilización de madera.

Colores vivos, cuerpo de gran resistencia, no se a...","Lápices de colores con cuerpo hexagonal de resina plástica producido sin la utilización de madera.

Colores vivos, cuerpo de gran resistencia, no se astilla al sacarle punta.

Hechos con 50% de material reciclado.

PRESENTACIÓN
Estuche x 24- Caja máster 12 estuches",,,,8584.0,,,4.44,,Otros,"colores, no, 50%, x24u, madera., gran, caja, evolution, x, de, sin, máster, hechos, 12, sacarle, plástica, utilización, lápices, cuerpo, estuches, hexagonal, presentación, vivos,, resina, 24-, estuche, la, producido, resistencia,, astilla, punta., bic, con, al, reciclado., color, se, material, largo",https://starcenter.com.uy/uploads/products/2312-1503007741.jpg,,,,,,,,Sin Marca
,,904937,MARCADOR PIZARRA BIC VELLEDA NEGRO BOX X12U PUNTA CÓNICA,,,,"Fácil de borrar inclusive luego de varias semanas. Tinta constante de suave olor.

Punta cónica y chata, indeformable, de doble trazo para subrayar y ...","Fácil de borrar inclusive luego de varias semanas. Tinta constante de suave olor.

Punta cónica y chata, indeformable, de doble trazo para subrayar y resaltar.

Colores que no pierden su intensidad con el tiempo, con excelente poder de cobertura.

PRESENTACIÓN
Box x 12- Caja máster 24 boxes",,,,800.0,,,15.92,,Otros,"olor., colores, no, borrar, constante, chata,, su, 24, caja, semanas., marcador, pierden, x, negro, de, intensidad, y, máster, cónica, inclusive, subrayar, boxes, indeformable,, luego, el, presentación, varias, tinta, para, 12-, pizarra, que, resaltar., excelente, poder, box, velleda, x12u, doble, cobertura., fácil, suave, bic, con, tiempo,, punta, trazo",https://starcenter.com.uy/uploads/products/2314-154169750.jpg,,,,,,,,Sin Marca
,,904938,MARCADOR PIZARRA BIC VELLEDA AZUL BOX X12U PUNTA CÓNICA,,,,"Fácil de borrar inclusive luego de varias semanas. Tinta constante de suave olor.

Punta cónica y chata, indeformable, de doble trazo para subrayar y ...","Fácil de borrar inclusive luego de varias semanas. Tinta constante de suave olor.

Punta cónica y chata, indeformable, de doble trazo para subrayar y resaltar.

Colores que no pierden su intensidad con el tiempo, con excelente poder de cobertura.

PRESENTACIÓN
Box x 12- Caja máster 24 boxes",,,,408.0,,,15.92,,Otros,"olor., colores, no, borrar, constante, chata,, su, 24, caja, semanas., marcador, pierden, x, intensidad, de, azul, y, máster, cónica, inclusive, subrayar, boxes, indeformable,, luego, el, presentación, varias, tinta, para, 12-, pizarra, que, resaltar., excelente, poder, box, velleda, x12u, doble, cobertura., fácil, suave, bic, con, tiempo,, punta, trazo",https://starcenter.com.uy/uploads/products/2315-2120022387.jpg,,,,,,,,Sin Marca
,,904939,MARCADOR PIZARRA BIC VELLEDA ROJO BOX X12U PUNTA CÓNICA,,,,"Fácil de borrar inclusive luego de varias semanas. Tinta constante de suave olor.

Punta cónica y chata, indeformable, de doble trazo para subrayar y ...","Fácil de borrar inclusive luego de varias semanas. Tinta constante de suave olor.

Punta cónica y chata, indeformable, de doble trazo para subrayar y resaltar.

Colores que no pierden su intensidad con el tiempo, con excelente poder de cobertura.

PRESENTACIÓN
Box x 12- Caja máster 24 boxes",,,,509.0,,,15.92,,Otros,"olor., colores, no, borrar, constante, chata,, su, 24, caja, semanas., marcador, pierden, x, intensidad, de, y, máster, cónica, inclusive, subrayar, boxes, indeformable,, luego, el, presentación, varias, rojo, tinta, para, 12-, pizarra, que, resaltar., excelente, poder, box, velleda, x12u, doble, cobertura., fácil, suave, bic, con, tiempo,, punta, trazo",https://starcenter.com.uy/uploads/products/2316-2010581852.jpg,,,,,,,,Sin Marca
